emp_no,first_name,last_name,title,to_date
31341,Oksana,Zultner,Staff,9999-01-01
31514,Harngdar,Schapire,Senior Engineer,9999-01-01
31568,Mark,Lalonde,Staff,9999-01-01
31599,Qingxiang,Gewali,Engineer,1998-12-01
31629,Toong,Veldwijk,Assistant Engineer,1996-04-26
31909,Murthy,Peek,Engineer,9999-01-01
32347,Terresa,Peres,Senior Staff,9999-01-01
32552,Atreye,Stanger,Assistant Engineer,9999-01-01
32622,Piyush,Paciorek,Staff,1991-08-07
32649,Ingmar,Nannarelli,Senior Staff,9999-01-01
32714,Radoslaw,Maliniak,Staff,9999-01-01
32844,Tadahiko,Melton,Engineer,9999-01-01
33025,Jessie,Thorelli,Senior Staff,9999-01-01
33215,Steen,Fasbender,Technique Leader,9999-01-01
33293,Adamantios,Vanwelkenhuysen,Assistant Engineer,2000-08-18
33606,Clyde,Swift,Staff,1996-12-29
33722,Anwar,Collette,Senior Engineer,9999-01-01
34077,Angel,Sichman,Staff,9999-01-01
34261,Kyoichi,Callaway,Senior Staff,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,9999-01-01
34452,Naftaly,Foong,Senior Engineer,9999-01-01
34505,Felicidad,Kumaresan,Senior Staff,9999-01-01
34533,Erzsebet,Shigei,Senior Engineer,9999-01-01
34780,Moni,Kohling,Staff,9999-01-01
34788,Ennio,Babu,Senior Engineer,9999-01-01
34936,Bokyung,Stamatiou,Technique Leader,9999-01-01
35044,Jiang,Waschkowski,Engineer,9999-01-01
35087,Leif,Ashish,Senior Staff,9999-01-01
35441,Chandrasekaran,Peek,Senior Engineer,9999-01-01
35642,Ashish,Talmon,Engineer,9999-01-01
35793,Oscar,Kusalik,Staff,9999-01-01
35798,Ulf,Oberman,Senior Engineer,9999-01-01
36521,Serif,Gladwell,Senior Staff,9999-01-01
36626,Fen,Genin,Senior Staff,9999-01-01
36733,Uma,Reinhard,Staff,9999-01-01
36844,Hailing,Levergood,Staff,9999-01-01
36982,Kotesh,Rajala,Engineer,9999-01-01
37070,Jeong,Undy,Staff,9999-01-01
37592,Berni,Stranks,Engineer,1992-09-19
37719,Nakhoon,Buescher,Assistant Engineer,1999-01-17
37945,Suzette,Butterworth,Senior Engineer,9999-01-01
38017,Ulf,Himler,Staff,1997-11-28
38043,Michaela,Randi,Senior Engineer,9999-01-01
38103,Masasuke,Babu,Senior Engineer,9999-01-01
38168,Fumiko,Deverell,Senior Staff,9999-01-01
38550,JoAnne,Baez,Senior Engineer,9999-01-01
38593,Huei,Orsini,Engineer,9999-01-01
38947,Shuichi,Ruemmler,Senior Staff,9999-01-01
39000,Martijn,Vendrig,Senior Staff,9999-01-01
39036,Changho,Cappelli,Staff,9999-01-01
39268,Constantijn,Awdeh,Engineer,1990-06-10
39301,Rimon,Kawashima,Senior Staff,9999-01-01
39341,Mahmut,Lampe,Engineer,9999-01-01
39952,Otmar,Sudbeck,Staff,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,9999-01-01
40283,Sudhanshu,Boissier,Engineer,9999-01-01
40301,Spyrose,Felder,Senior Engineer,9999-01-01
40536,Harngdar,Bernardinello,Engineer,9999-01-01
40648,Wayne,Erev,Staff,1993-02-02
40765,Michaela,Ramsak,Staff,9999-01-01
40773,Shimshon,Aingworth,Staff,9999-01-01
40785,Youpyo,Castellani,Engineer,1999-10-14
40983,Marla,Cherinka,Technique Leader,9999-01-01
41114,Petter,Thummel,Technique Leader,9999-01-01
41137,Bikash,Buchter,Senior Staff,9999-01-01
41357,Willard,Vernadat,Engineer,9999-01-01
41518,Keung,Schapiro,Senior Engineer,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,9999-01-01
41552,Uno,Heyers,Engineer,2001-11-29
41609,Yucai,Simmen,Senior Staff,9999-01-01
42778,Shuji,Remmers,Senior Staff,9999-01-01
42911,Brigham,Eterovic,Engineer,9999-01-01
42950,Shaleah,Eickenmeyer,Senior Staff,9999-01-01
42955,Yucel,Lortz,Engineer,9999-01-01
43154,Maha,Waterhouse,Senior Staff,9999-01-01
43358,Ottavia,Mitsuhashi,Staff,1996-07-13
43733,Huei,Boguraev,Senior Staff,9999-01-01
43848,Phillip,Oxenboll,Engineer,9999-01-01
44054,Alenka,Ritcey,Engineer,9999-01-01
44265,Maria,Eppinger,Engineer,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,9999-01-01
44900,Mark,Schwaller,Staff,9999-01-01
44959,Volkmar,Uhrik,Senior Engineer,9999-01-01
44962,Sariel,Wynblatt,Assistant Engineer,9999-01-01
45162,Dulce,Speel,Engineer,9999-01-01
45590,Masoud,Genin,Technique Leader,1994-06-01
46000,Zhaofang,Penn,Staff,9999-01-01
46015,Weiye,Masand,Staff,2002-01-29
46222,Mrinalini,Strooper,Staff,1992-09-04
46328,Wuxu,Trogemann,Senior Staff,9999-01-01
46531,Yaghout,Peng,Assistant Engineer,1997-10-07
46811,Junsik,Berendt,Senior Engineer,9999-01-01
46834,Tooru,Daescu,Senior Staff,9999-01-01
46943,Pasqua,Maraist,Senior Engineer,9999-01-01
47016,Toong,Litecky,Staff,9999-01-01
47139,Marco,Usdin,Engineer,9999-01-01
47262,Gonzalo,Binkley,Engineer,9999-01-01
47515,Naraig,Jenevein,Senior Engineer,9999-01-01
47702,Juyoung,Vieri,Staff,9999-01-01
47708,Edwin,Haldar,Senior Staff,9999-01-01
48275,Sariel,Massonet,Senior Staff,9999-01-01
48690,Hitomi,Schaap,Staff,9999-01-01
48882,Leen,Lamparter,Senior Engineer,9999-01-01
48904,Yuichiro,Malabarba,Senior Staff,9999-01-01
48947,Filipp,Akaboshi,Senior Staff,9999-01-01
49010,Kazuhisa,Benantar,Staff,9999-01-01
49017,Filipp,Flanders,Engineer,9999-01-01
49119,Lena,Peek,Senior Engineer,9999-01-01
49177,Tze,Bach,Engineer,9999-01-01
49464,Siddarth,Cappelletti,Staff,9999-01-01
49477,Baocai,Leaver,Senior Staff,9999-01-01
50293,Xinan,Rindone,Engineer,9999-01-01
50311,Mooi,Stafford,Senior Engineer,9999-01-01
50360,Sumali,Kushner,Engineer,2001-10-29
50453,Aron,Harbusch,Staff,9999-01-01
50587,Slavian,Yemenis,Technique Leader,1994-11-18
50670,Boguslaw,Snedden,Senior Staff,9999-01-01
50831,Marie,Khalid,Senior Engineer,9999-01-01
51036,Chriss,Fasbender,Staff,9999-01-01
51057,Theirry,Albarhamtoshy,Senior Staff,9999-01-01
51060,Youngkon,Rohrbach,Senior Engineer,9999-01-01
51118,Fumiko,Mundy,Staff,2001-08-20
51142,Rosine,Lakshmanan,Senior Engineer,9999-01-01
51502,Slavian,Munawer,Senior Staff,2001-09-04
51868,Remmert,Munke,Assistant Engineer,1998-05-19
52038,Chikako,Armand,Senior Engineer,9999-01-01
52040,Phule,Heijenga,Staff,9999-01-01
52283,Trygve,Krupka,Staff,9999-01-01
52386,Adas,Denti,Senior Staff,9999-01-01
52590,Jouni,Munoz,Senior Staff,9999-01-01
52599,Augustine,Mungall,Senior Engineer,9999-01-01
52639,Arup,Colorni,Senior Staff,9999-01-01
52770,Shugo,Yurek,Staff,9999-01-01
52778,Alain,Penn,Technique Leader,9999-01-01
52956,Khalil,Picci,Senior Engineer,9999-01-01
52970,Lobel,Werthner,Senior Engineer,9999-01-01
53088,Mechthild,Lamma,Senior Engineer,1993-06-03
53278,Premsyl,Lortz,Senior Staff,9999-01-01
53314,Eberhardt,Carrera,Staff,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,9999-01-01
53499,Zdislav,Mandelberg,Engineer,9999-01-01
53597,Jiafu,Marchegay,Engineer,9999-01-01
53746,Manu,Erva,Staff,1993-04-29
53874,Bodo,Schade,Senior Staff,9999-01-01
53891,Olivera,Pargaonkar,Staff,1992-03-29
53924,Arnould,Gaughan,Engineer,9999-01-01
54198,Shaowen,Segond,Engineer,9999-01-01
54632,Etsuo,Serot,Senior Staff,9999-01-01
54795,Sumant,Nergos,Staff,9999-01-01
54800,Breannda,Cangellaris,Staff,9999-01-01
55121,Toshiko,Alblas,Engineer,1996-07-23
55640,Adit,Syrotiuk,Senior Engineer,9999-01-01
55670,Ulf,Ranft,Senior Staff,1996-05-17
55687,Shih,Lindqvist,Senior Engineer,9999-01-01
55799,Jianwen,Litzler,Senior Engineer,9999-01-01
55857,Adin,Scallan,Senior Staff,9999-01-01
56105,Makato,Remmers,Engineer,9999-01-01
56209,Remzi,Douceur,Senior Engineer,9999-01-01
56415,Sigeru,Nivat,Staff,9999-01-01
56428,Olivera,Hanabata,Senior Staff,9999-01-01
56682,Roded,Picco,Assistant Engineer,9999-01-01
56829,Nagui,Gruenwald,Engineer,9999-01-01
56847,Menkae,Chinin,Senior Engineer,9999-01-01
57934,Sanjoy,Boudaillier,Engineer,9999-01-01
57982,Paloma,Benzaken,Senior Staff,1998-09-11
58141,Bezalel,Karner,Staff,9999-01-01
58147,Shigenori,Sullins,Senior Staff,9999-01-01
58217,Kiyotoshi,Kusalik,Engineer,1999-06-26
58384,Mariusz,Vural,Engineer,9999-01-01
58454,Ziya,Zambonelli,Engineer,9999-01-01
58497,Yechiam,Cairo,Senior Staff,9999-01-01
58601,Sungwon,Asser,Staff,2000-04-01
58819,Gennady,Liesche,Senior Staff,9999-01-01
58990,Palash,Trelles,Engineer,9999-01-01
59195,Ronnie,Pollock,Technique Leader,9999-01-01
59329,Zissis,Bazzichi,Staff,1991-01-25
59640,Zita,Hiltgen,Staff,9999-01-01
59661,Saeko,Baik,Staff,1999-08-15
59869,Zsolt,Riefers,Senior Staff,9999-01-01
59966,Steen,Salvesen,Technique Leader,9999-01-01
60000,Heekeun,Emmart,Engineer,9999-01-01
60091,Surveyors,Bade,Senior Staff,9999-01-01
60238,Erzsebet,Claffy,Staff,9999-01-01
60559,Jeanna,Stemann,Engineer,9999-01-01
60821,Moty,Mersereau,Senior Staff,9999-01-01
60845,Bedir,Siegrist,Engineer,9999-01-01
60875,Rildo,Masaki,Senior Engineer,9999-01-01
60959,Tetsushi,Sridhar,Senior Staff,9999-01-01
61147,Leszek,Werthner,Staff,9999-01-01
61253,Cheong,Uhrik,Senior Engineer,9999-01-01
61377,Dannz,Ohori,Staff,9999-01-01
61541,Kasidit,Papsdorf,Engineer,9999-01-01
61680,Hauke,Templeman,Staff,1999-02-21
61873,Woody,Rusmann,Assistant Engineer,9999-01-01
61983,Sastry,Reeken,Staff,1992-05-17
62033,Heeju,Cappelli,Senior Engineer,9999-01-01
62046,Karlis,Nanard,Engineer,9999-01-01
62167,Mihalis,Haldar,Senior Engineer,2001-02-03
62245,Adel,Bressoud,Engineer,9999-01-01
62384,Akeel,Litzler,Senior Staff,2001-12-21
63294,Tetsushi,Tanemo,Engineer,9999-01-01
63419,Hiroyasu,Seuren,Senior Engineer,9999-01-01
63441,Hinrich,Scallan,Staff,9999-01-01
63444,Padma,Peres,Staff,1994-12-22
63566,Heekeun,Slaats,Senior Staff,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,9999-01-01
63706,Sedat,Itzigehl,Engineer,9999-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,9999-01-01
64209,Golgen,Schoegge,Senior Staff,9999-01-01
64431,Faiza,Zongker,Technique Leader,2001-12-03
64487,Tsutomu,Rebaine,Engineer,9999-01-01
64532,Atilio,Segond,Engineer,9999-01-01
64632,Zsolt,Brender,Senior Staff,9999-01-01
64790,Shin,Piveteau,Senior Engineer,9999-01-01
64828,Krister,Pappas,Staff,9999-01-01
64984,Eldridge,Eldridge,Senior Engineer,9999-01-01
65013,Chandrasekaran,Peral,Senior Engineer,2001-12-14
65171,Jeane,Tasistro,Technique Leader,9999-01-01
65539,Aksel,Picaronny,Senior Engineer,9999-01-01
65883,Patricia,Pepe,Senior Staff,9999-01-01
65998,Mandell,Alameldin,Senior Staff,9999-01-01
66382,Domenico,Candan,Engineer,9999-01-01
66530,Dung,Leaver,Staff,9999-01-01
66643,Jianhao,Tomescu,Engineer,9999-01-01
66702,Deniz,Thibadeau,Engineer,9999-01-01
66757,Yonghong,Baig,Staff,9999-01-01
66807,Aiman,Rosaz,Senior Engineer,9999-01-01
67320,Sadok,Lorys,Senior Staff,9999-01-01
67548,Fumitaka,Roohalamini,Staff,9999-01-01
67934,Aiman,Gargeya,Engineer,9999-01-01
68022,Kristinn,Pearson,Staff,1999-06-26
68168,Marl,Thiria,Senior Staff,1996-12-31
68263,Fumiko,Bodoff,Staff,1993-07-11
68416,Munenori,Debuse,Senior Engineer,9999-01-01
68608,Yucai,Seghrouchni,Engineer,9999-01-01
68633,Chinhyun,Rassart,Senior Engineer,9999-01-01
68648,Jaques,DiGiano,Technique Leader,9999-01-01
69052,Shietung,Shrader,Senior Staff,9999-01-01
69219,Shuky,Redmiles,Senior Staff,9999-01-01
69867,Miyeon,Rothe,Staff,9999-01-01
69878,Chinya,Cooke,Engineer,9999-01-01
69936,Lalit,Unni,Assistant Engineer,9999-01-01
70469,Tru,Miyakawa,Senior Staff,9999-01-01
70780,Behnaam,Angelov,Assistant Engineer,1999-07-20
70990,Arumugam,Nitta,Senior Engineer,9999-01-01
71066,Domenick,Basart,Senior Staff,9999-01-01
71141,Sajjad,Vitiello,Senior Staff,9999-01-01
71188,Pranjal,Schapiro,Staff,9999-01-01
71243,Kinh,Buchter,Senior Engineer,9999-01-01
71334,Cathie,Peck,Engineer,9999-01-01
71685,Kristinn,Olano,Senior Engineer,9999-01-01
71710,Hitomi,Takanami,Assistant Engineer,9999-01-01
71745,Adil,Laventhal,Assistant Engineer,9999-01-01
72190,Sajjad,Waeselynck,Engineer,9999-01-01
72194,Feiyu,Siepmann,Senior Engineer,9999-01-01
72232,Naraig,Veldwijk,Engineer,9999-01-01
72640,Honglan,Hutton,Engineer,9999-01-01
72918,Takahira,Szilard,Senior Staff,9999-01-01
73076,Froduald,Feldhoffer,Senior Engineer,9999-01-01
73233,Shigeo,Merey,Senior Engineer,9999-01-01
73516,Qingxiang,Badache,Senior Engineer,9999-01-01
73743,Anneke,Bernardeschi,Engineer,9999-01-01
73794,Aiichiro,Castellani,Engineer,1987-08-19
73903,Bartek,Cappello,Engineer,1993-01-02
74200,Holgard,Weiland,Senior Engineer,9999-01-01
74237,Jaihie,Vilarrasa,Assistant Engineer,2001-06-20
74344,Hiroyasu,Provine,Engineer,9999-01-01
74598,Kolar,Garigliano,Senior Staff,1999-03-07
74668,Masako,Bonifati,Senior Staff,9999-01-01
74800,Yuuichi,Conde,Senior Engineer,9999-01-01
75113,Zissis,Birch,Senior Engineer,2000-07-15
75354,Shuky,Jakobus,Engineer,9999-01-01
75420,Clyde,Vrecion,Engineer,2000-09-14
75703,Kyoichi,Erman,Engineer,9999-01-01
75760,Jahangir,Radhakrishnan,Technique Leader,1993-12-29
75888,Marsal,Otillio,Staff,1999-09-16
76178,Chiradeep,Meriste,Senior Engineer,1997-06-25
76189,Kolar,Hinsberger,Engineer,9999-01-01
76201,Arif,Preusig,Senior Engineer,9999-01-01
76417,Parviz,Duclos,Senior Engineer,1993-12-31
76598,Keung,Ferriere,Engineer,1995-10-08
76640,Tristan,Mitsuhashi,Engineer,9999-01-01
76847,Mariusz,Weiland,Senior Engineer,1994-11-09
77030,Faiza,Garnham,Technique Leader,9999-01-01
77157,Tesuro,Nicolson,Staff,1999-10-20
77303,Xinglin,Birge,Staff,9999-01-01
77647,Niranjan,Schaaf,Technique Leader,9999-01-01
77815,Ronghao,Picaronny,Engineer,9999-01-01
78086,Fabrizio,Anick,Staff,1998-05-02
78106,Ashish,Ratnaker,Senior Staff,9999-01-01
78171,Teiji,Hinsberger,Senior Staff,2002-05-18
78363,Susumu,Fritzsche,Engineer,9999-01-01
78469,Leucio,Cappelli,Staff,9999-01-01
78871,Conor,Ghandeharizadeh,Senior Engineer,9999-01-01
79043,Katsuo,Hockney,Technique Leader,9999-01-01
79171,Guiseppe,Ellozy,Senior Engineer,9999-01-01
79190,Tsuneo,Servi,Staff,2001-06-02
79239,Denny,Griswold,Senior Engineer,2001-11-19
79310,Jeong,Cunliffe,Senior Staff,9999-01-01
79606,Arnd,Peir,Senior Engineer,9999-01-01
79640,Marl,Litzkow,Staff,1993-10-22
79722,Make,Remmers,Staff,1998-08-08
79763,Sanjoy,Barreiro,Staff,9999-01-01
79895,Fei,Murtagh,Senior Staff,9999-01-01
80067,Kazuhisa,Weiland,Senior Staff,9999-01-01
80203,Shakhar,Baik,Staff,9999-01-01
80432,Stella,Figueira,Senior Staff,9999-01-01
80656,Kwan,Gide,Engineer,2001-07-01
80731,Shaowen,Eldridge,Senior Staff,9999-01-01
80745,Rimli,Huttel,Staff,1996-11-29
80850,Koldo,Luit,Senior Engineer,9999-01-01
80889,Shigeo,Linnainmaa,Senior Engineer,9999-01-01
80948,Harjit,Bardell,Senior Engineer,9999-01-01
81105,Jaewon,Boissier,Engineer,9999-01-01
81162,Marco,Klerer,Senior Engineer,2001-02-02
81545,Larisa,Kornyak,Technique Leader,9999-01-01
81619,Gen,Aloisi,Engineer,2002-07-25
81644,Divine,Ghandeharizadeh,Staff,9999-01-01
81995,Sreekrishna,Brender,Senior Engineer,9999-01-01
82069,Yechezkel,Perfilyeva,Engineer,9999-01-01
82098,Poornachandra,Wilharm,Engineer,9999-01-01
82351,Stevo,Thambidurai,Senior Staff,9999-01-01
82511,Uwe,Koblick,Engineer,9999-01-01
82919,Shigeu,Claffy,Engineer,9999-01-01
82928,Alselm,Rikino,Engineer,9999-01-01
83280,Francesca,Ellozy,Senior Engineer,9999-01-01
83289,Shigeichiro,Engelmann,Engineer,9999-01-01
83509,Breannda,Collavizza,Engineer,9999-01-01
83544,Leaf,Baak,Senior Staff,9999-01-01
83714,Ohad,Kilgore,Engineer,9999-01-01
83805,Manohar,Harllee,Senior Engineer,9999-01-01
83922,Shunichi,Solovay,Engineer,1998-11-18
83941,Zsolt,Hagimont,Senior Staff,9999-01-01
84029,Babette,Eugenio,Staff,9999-01-01
84163,Zejun,Roisin,Senior Staff,2002-01-16
84179,Shuichi,Nanard,Senior Engineer,9999-01-01
84236,Eberhardt,Barriga,Senior Staff,9999-01-01
84256,Denny,Cheshire,Staff,1992-08-08
84315,Kristina,Baumann,Assistant Engineer,9999-01-01
84451,Shiv,Aumann,Senior Engineer,9999-01-01
84494,Janalee,Loncour,Staff,1987-09-04
84508,Tommaso,Vidya,Engineer,9999-01-01
84840,Sverrir,Neimat,Staff,9999-01-01
84922,Parke,Unno,Engineer,9999-01-01
84942,Shin,Fujisaki,Technique Leader,9999-01-01
85216,Ferdinand,Rosiles,Senior Staff,9999-01-01
85288,Younwoo,Luders,Engineer,9999-01-01
85414,Chiradeep,Callaway,Staff,9999-01-01
85445,Yongdong,Pollock,Staff,9999-01-01
85702,Udi,Merks,Engineer,9999-01-01
85874,Pasqua,Taubman,Senior Staff,9999-01-01
86213,Kristine,Clemencon,Staff,9999-01-01
86324,Maia,Berstel,Engineer,2002-01-13
86354,Ronghao,Segond,Senior Engineer,9999-01-01
86422,Jaewon,Thummel,Staff,9999-01-01
86546,Oldrich,Woycyznski,Senior Engineer,9999-01-01
86655,Zhenhua,Lorys,Engineer,9999-01-01
86672,JoAnne,Anido,Staff,9999-01-01
87129,Keung,Neiman,Staff,9999-01-01
87353,Quingbo,Coombs,Senior Engineer,9999-01-01
87458,Mikhail,Gimbel,Senior Staff,1999-04-29
87714,Khun,Janetzko,Assistant Engineer,9999-01-01
87729,Yongmin,Roccetti,Senior Staff,9999-01-01
87783,Conor,Thorensen,Senior Engineer,9999-01-01
88103,Goo,Bresenham,Senior Staff,9999-01-01
88357,Manohar,Karcich,Staff,2000-08-22
88411,Lena,Cannane,Engineer,9999-01-01
88422,Jungsoon,Birsak,Technique Leader,9999-01-01
88647,Vasiliy,Ratnaker,Engineer,9999-01-01
88958,Vojin,Coombs,Senior Staff,9999-01-01
88965,Mang,Hedayat,Engineer,9999-01-01
89048,Otmar,Birjandi,Senior Engineer,9999-01-01
89090,Tetsushi,Theuretzbacher,Staff,9999-01-01
89161,Conal,Yetto,Staff,9999-01-01
89207,Along,Erol,Senior Staff,9999-01-01
89346,Mansur,Comyn,Engineer,9999-01-01
89487,Kazuhira,Seiwald,Engineer,1999-03-24
89590,Guther,Rothenberg,Senior Staff,9999-01-01
89664,Pranjal,Rossi,Staff,9999-01-01
89680,Aiman,Mawatari,Engineer,9999-01-01
89806,Xiadong,Shinomoto,Engineer,9999-01-01
89922,Alexius,Ibel,Engineer,9999-01-01
89941,Arnould,Weedman,Senior Staff,9999-01-01
90077,Vivian,Guerreiro,Engineer,9999-01-01
90084,Renny,Bale,Senior Engineer,9999-01-01
90116,Brigham,Luiz,Assistant Engineer,1995-06-10
90211,Bader,Denis,Engineer,9999-01-01
90292,Koichi,Assaf,Senior Engineer,9999-01-01
90366,Magy,Eiron,Senior Staff,2002-03-03
90518,Fumiko,Chepyzhov,Senior Staff,9999-01-01
90614,Yonghoan,Trogemann,Assistant Engineer,9999-01-01
90692,Rajmohan,DasSarma,Senior Staff,9999-01-01
91172,Kazuhisa,Melter,Staff,9999-01-01
91182,Lucien,Schwartzburd,Engineer,9999-01-01
91229,Yahiko,Hebden,Engineer,9999-01-01
91256,Gunilla,Milicic,Staff,9999-01-01
91308,Remmert,Plumb,Senior Engineer,1995-12-08
91333,Lobel,Stafford,Staff,9999-01-01
